ltable_id,ltable_title,rtable_id,rtable_title
1641,Moonstruck,1432,Moonstruck
2247,Moonraker,1433,Moonraker
235,Moonrise Kingdom,1435,Moonrise Kingdom
3103,The Crossing Guard,1444,The Crossing Guard
423,Moon,1478,Moon
1392,Born on the Fourth of July,1512,Born on the Fourth of July
598,The Meaning of Life,1524,Monty Python's The Meaning of Life
1981,Crocodile Dundee,1536,Crocodile Dundee
3613,Critters,1539,Critters
1914,Monty Python Live at the Hollywood Bowl,1556,Monty Python Live at the Hollywood Bowl
214,Monty Python and the Holy Grail,1560,Monty Python and the Holy Grail
1291,Crimson Tide,1580,Crimson Tide
4220,Crimson Peak,1586,Crimson Peak
2125,Away We Go,1610,Away We Go
1829,Awakenings,1614,Awakenings
456,Crimes and Misdemeanors,1626,Crimes and Misdemeanors
2828,Monster's Ball,1650,Monster's Ball
1963,Monsters University,1651,Monsters University
2,"Monsters, Inc.",1652,"Monsters, Inc."
3637,Monsters,1657,Monsters
1024,The Monster Squad,1659,The Monster Squad
1583,The Aviator,1692,The Aviator
2595,Creepshow 2,1697,Creepshow 2
1445,Creepshow,1700,Creepshow
516,Creed,1711,Creed
4134,Monster House,1726,Monster House
2844,The Pursuit of Happyness,1743,The Pursuit of Happyness
44,The Purple Rose of Cairo,1744,The Purple Rose of Cairo
3643,Purple Rain,1745,Purple Rain
320,The Avengers,1760,The Avengers
1004,Avengers: Age of Ultron,1764,Avengers: Age of Ultron
1663,"Crazy, Stupid, Love.",1781,"Crazy, Stupid, Love"
2465,Monster,1789,Monster
1483,Monsieur Verdoux,1794,Monsieur Verdoux
4284,Avanti!,1811,Avanti!
281,Avatar,1816,Avatar
3652,Avalon,1819,Avalon
2364,Crazy Heart,1837,Crazy Heart
2422,The Book of Eli,1839,The Book of Eli
681,Boogie Nights,1844,Boogie Nights
3235,The Crazies,1889,The Crazies
3702,The Crazies,1891,The Crazies
1138,Bonnie and Clyde,1904,Bonnie and Clyde
4000,Monkey Shines,1906,Monkey Shines
3259,Auto Focus,1943,Auto Focus
2033,Crash,1954,Crash
3196,Crank,1959,Crank
2986,The Money Pit,1975,The Money Pit
453,Moneyball,1976,Moneyball
1204,Punch-Drunk Love,1993,Punch-Drunk Love
2859,Pumpkinhead,1995,Pumpkinhead
918,Austin Powers: International Man of Mystery,2006,Austin Powers: International Man of Mystery
1121,Austin Powers: The Spy Who Shagged Me,2007,Austin Powers: The Spy Who Shagged Me
2905,Austin Powers in Goldmember,2008,Austin Powers in Goldmember
3572,The Craft,2013,The Craft
2288,Mona Lisa,2039,Mona Lisa
2757,Pumping Iron,2047,Pumping Iron
1117,Pump Up the Volume,2048,Pump Up the Volume
86,Pulp Fiction,2060,Pulp Fiction
2760,The Cowboys,2083,The Cowboys
3209,Bolt,2097,Bolt
3938,Mommie Dearest,2104,Mommie Dearest
